Order ID,Order Status,Cancel reason,Return / Refund Status,Tracking Number,Shipping Option,Shipment Method,Estimated Ship Out Date,Ship Time,Order Creation Date,Order Paid Time,Parent SKU Reference No.,Product Name,SKU Reference No.,Variation Name,Original Price,Deal Price,Quantity,Product Subtotal,Seller Rebate,Seller Discount,Shopee Rebate,SKU Total Weight,No of product in order,Order Total Weight,Voucher Code,Seller Voucher,Seller Absorbed Coin Cashback,Shopee Voucher,Bundle Deal Indicator,Shopee Bundle Discount,Seller Bundle Discount,Shopee Coins Offset,Credit Card Discount Total,Total Amount,Buyer Paid Shipping Fee,Transaction Fee,Commission Fee,Service Fee,Grand Total,Estimated Shipping Fee,Username (Buyer),Remark from buyer,Order Complete Time,Note
200901HUDGHT18,Cancelled,Cancelled by buyer. Reason: Need to modify order,,,Standard Delivery,Dropoff,,,2020/9/1 6:52,-,KT-S05 ,Ready Stock Kids Shoes Net Breathable Casual Shoes Boys Girlscandy color non-slip wear-resistant breathable shoes,KT-S05,"black,25",37,25.9,1,25.9,11.1,11.1,0,0.5,1,0.5,LUCAA;FSV-58796670,1,0,0,N,0,0,0,0,25.9,0,0.5,0,1.74,24.9,6,emamuda,,,
200901HUNXHSCM,Completed,,,MY201130258568J,Standard Delivery,Dropoff,2020/9/3 6:58,2020/9/2 11:00,2020/9/1 6:57,2020/9/1 6:58,KT-S05 ,Ready Stock Kids Shoes Net Breathable Casual Shoes Boys Girlscandy color non-slip wear-resistant breathable shoes,KT-S05,"black,27",37,25.9,1,25.9,11.1,11.1,0,0.5,1,0.5,LUCAA;FSV-58796670,1,0,0,N,0,0,0,0,25.9,0,0.5,0,1.74,24.9,6,emamuda,,2020/9/11 17:21,
200901HWCU2W80,Completed,,,MY200299723560X,Standard Delivery,Dropoff,2020/9/3 7:29,2020/9/2 10:44,2020/9/1 7:28,2020/9/1 7:29,KT-???292-2,Ready Stock Kids Shoes boy&girls Sports Shoes  kasut sukan Breathable mesh sneakers,,"Blue,36",39.87,29.9,1,29.9,9.97,9.97,0,0.5,1,0.5,99LUC72D1;FSV-58796670,2.99,0,0,N,0,0,0,0,29.9,0,0.54,0,1.88,26.91,5.2,alyaninasuhabintiothman,,2020/9/11 18:31,
200901J7BYYSJ7,Completed,,,MY205007282042Z,Standard Delivery,Dropoff,2020/9/3 10:29,2020/9/2 10:44,2020/9/1 10:26,2020/9/1 10:29,KT696,Ready Stock Kids Shoes ULTRAMAN Kid's Sandals Velcro Casual Shoes Luminous Sole,KT696_??_29,"blue,29?with light?",60,42,1,42,18,18,0,0.3,1,0.3,99LUC72D1;FSV-58796670,4.2,0,0,N,0,0,0,0,42,0,0.76,0,2.65,37.8,6,rayqalshah,,2020/9/11 17:27,
200901JCHV4JN0,Completed,,,MY2052538350953,Standard Delivery,Dropoff,2020/9/3 11:59,2020/9/2 11:00,2020/9/1 11:59,2020/9/1 11:59,KT-??206,Ready Stock Shoes Kids  Sport Shoes Girls Velcro Breathable Mesh Vamp Sneakers LED Sneakers,,"Pink,27",53.2,39.9,1,39.9,13.3,13.3,0,0.5,1,0.5,99LUC72D1;CRSEPT1;FSV-58708176,3.99,0,0,N,0,0,0,0,39.9,0,0.72,0,2.51,35.91,6,suhaizabasri,,2020/9/7 17:24,
200901JRYNBEFU,Completed,,,MY207895371778J,Standard Delivery,Dropoff,2020/9/3 15:41,2020/9/2 10:44,2020/9/1 15:41,2020/9/1 15:41,KT-??206,Ready Stock Shoes Kids  Sport Shoes Girls Velcro Breathable Mesh Vamp Sneakers LED Sneakers,,"Pink,31",57.2,42.9,1,42.9,14.3,14.3,0,0.5,1,0.5,99LUC72D1;CRSEPT1;FSV-58708176,4.29,0,0,N,0,0,0,0,42.9,0,0.77,0,2.7,38.61,5.2,elaine8226,,2020/9/8 16:33,
200901KD58AEAK,Completed,,,MY2031158274343,Standard Delivery,Dropoff,2020/9/3 21:45,2020/9/3 11:05,2020/9/1 21:42,2020/9/1 21:45,KT-???292-2,Ready Stock Kids Shoes boy&girls Sports Shoes  kasut sukan Breathable mesh sneakers,,"Blue,36",39.87,29.9,1,29.9,9.97,9.97,0,0.5,1,0.5,99LUC72D1,2.99,0,0,N,0,0,0,0,35.9,6,0.66,0,1.88,32.91,6,khairul_nisa09,,2020/9/11 19:38,
200901KG5JMHC6,Cancelled,Cancelled by buyer. Reason: Others / change of mind,,,Standard Delivery,Dropoff,2020/9/8 22:36,,2020/9/1 22:36,2020/9/1 22:36,KT-???2088,Ready Stock Kids Shoes Breathable Casual Shoes Velcro Fashion Non-slip Sneakers 3 Colors,KT-???2088_???_25,"pink,25",30,22.5,1,22.5,7.5,7.5,0,0.5,1,0.5,99LUC72D1;FSV-58708176,2.25,0,0,N,0,0,0,0,22.5,0,0.41,0,1.42,20.25,5.2,alicelsy2212,,,
200901KGMVW04G,Completed,,,MY208447318945R,Standard Delivery,Dropoff,2020/9/3 22:45,2020/9/3 16:06,2020/9/1 22:45,2020/9/1 22:45,KT-S05 ,Ready Stock Kids Shoes Net Breathable Casual Shoes Boys Girlscandy color non-slip wear-resistant breathable shoes,KT-S05,"pink,29",37,25.9,1,25.9,11.1,11.1,0,0.5,2,1,99LUC72D1;FSV-58796670,4.54,0,0,N,0,0,0,0,47.6,2.2,0.86,0,2.86,43.06,7.4,xbotzz,,2020/9/9 22:21,
200901KGMVW04G,Completed,,,MY208447318945R,Standard Delivery,Dropoff,2020/9/3 22:45,2020/9/3 16:06,2020/9/1 22:45,2020/9/1 22:45,KT-D-1,Children's Shoes Children's Sandals Casual Shoes Beach Shoes Donald Duck Disney Cute Sandals Non-slip and Breathable Comfortable and Waterproof,KT-D-1_???_26/27,"Khaki,26/27",25,19.5,1,19.5,5.5,5.5,0,0.5,2,1,99LUC72D1;FSV-58796670,4.54,0,0,N,0,0,0,0,47.6,2.2,0.86,0,2.86,43.06,7.4,xbotzz,,2020/9/9 22:21,
