Order ID,Order Status,Cancel reason,Return / Refund Status,Tracking Number*,Shipping Option,Shipment Method,Estimated Ship Out Date,Ship Time,Order Creation Date,Order Paid Time,Parent SKU Reference No.,Product Name,SKU Reference No.,Variation Name,Original Price,Deal Price,Quantity,Product Subtotal,Seller Rebate,Seller Discount,Shopee Rebate,SKU Total Weight,No of product in order,Order Total Weight,Voucher Code,Seller Voucher,Seller Absorbed Coin Cashback,Shopee Voucher,Bundle Deal Indicator,Shopee Bundle Discount,Seller Bundle Discount,Shopee Coins Offset,Credit Card Discount Total,Total Amount,Buyer Paid Shipping Fee,Transaction Fee,Commission Fee,Service Fee,Grand Total,Estimated Shipping Fee,Username (Buyer),Remark from buyer,Order Complete Time,Note
20100160M8MYGK,Completed,,,MY207072506168D,Standard Delivery,Dropoff,2020/10/12 7:15,2020/10/4 13:23,2020/10/1 7:13,2020/10/1 7:15,KT-????A6-9,Kid's Shoes Summer Sandals Children's Shoes Boys Shoes Cartoon Shoes Non-slip Beach Shoes kids slipper Captain America Spider Man Batman,KT-????A6-9_?-???_29,"black-Batman,29",48,27.5,1,27.5,20.5,20.5,0,0.3,1,0.3,,0,0,0,N,0,0,0,0,33.5,6,0.67,0,1.65,33.5,6,mastikayusup,,2020/10/19 13:32,
2010016C3V67S0,Completed,,,MY203148208686C,Standard Delivery,Dropoff,2020/10/12 10:40,2020/10/3 13:44,2020/10/1 10:39,2020/10/1 10:40,KT-???292-2,Ready Stock Kids Shoes boy&girls Sports Shoes  kasut sukan Breathable mesh sneakers,,"Blue,36",39.87,29.9,1,29.9,9.97,9.97,0,0.5,1,0.5,LUCAA;FSV-60641745,1,0,0,N,0,0,0,0,29.9,0,0.58,0,1.73,28.9,6,elle280601,,2020/10/12 22:38,
2010016CET6GMB,Completed,,,MY209283781086T,Standard Delivery,Dropoff,2020/10/12 10:47,2020/10/3 13:44,2020/10/1 10:45,2020/10/1 10:47,KT-???292-2,Ready Stock Kids Shoes boy&girls Sports Shoes  kasut sukan Breathable mesh sneakers,,"Pink,36",39.87,29.9,1,29.9,9.97,9.97,0,0.5,1,0.5,FSV-60641745,0,0,0,N,0,0,0,0,29.9,0,0.6,0,1.79,29.9,5.2,azyya_malek,,2020/10/12 14:25,
2010016DDRN63H,Cancelled,Cancelled by buyer. Reason: Need to modify order,,,Standard Delivery,Dropoff,,,2020/10/1 11:02,-,KT-??262,Ready Stock Kids Shoes Children's Sports Shoes Velcro Soft Running Shoes,KT-262_??_29,"black,29",53.6,35.99,1,35.99,17.61,17.61,0,0.5,2,1,LUCAA;FSV-60641745,1,0,0,N,0,0,0,0,78.02,2.2,1.54,0,4.49,77.02,8.2,mimie83,,,
2010016DDRN63H,Cancelled,Cancelled by buyer. Reason: Need to modify order,,,Standard Delivery,Dropoff,,,2020/10/1 11:02,-,KT-??262,Ready Stock Kids Shoes Children's Sports Shoes Velcro Soft Running Shoes,KT-262_??_32,"pink,32",56.9,39.83,1,39.83,17.07,17.07,0,0.5,2,1,LUCAA;FSV-60641745,1,0,0,N,0,0,0,0,78.02,2.2,1.54,0,4.49,77.02,8.2,mimie83,,,
2010016DYG02JU,Cancelled,Cancelled automatically by Shopee's system. Reason: Payment not received,,,Standard Delivery,Dropoff,,,2020/10/1 11:12,-,KT-??262,Ready Stock Kids Shoes Children's Sports Shoes Velcro Soft Running Shoes,KT-262_??_33,"pink,33",56.9,39.83,1,39.83,17.07,17.07,0,0.5,2,1,,0,0,0,N,0,0,0,0,87.86,8.2,1.76,0,4.78,87.86,8.2,mimie83,,,
2010016DYG02JU,Cancelled,Cancelled automatically by Shopee's system. Reason: Payment not received,,,Standard Delivery,Dropoff,,,2020/10/1 11:12,-,KT-??262,Ready Stock Kids Shoes Children's Sports Shoes Velcro Soft Running Shoes,KT-262_??_33,"black,33",56.9,39.83,1,39.83,17.07,17.07,0,0.5,2,1,,0,0,0,N,0,0,0,0,87.86,8.2,1.76,0,4.78,87.86,8.2,mimie83,,,
2010016EE9FEEW,Completed,,,MY209472372893I,Standard Delivery,Dropoff,2020/10/12 11:22,2020/10/3 13:34,2020/10/1 11:21,2020/10/1 11:22,KT-??262,Ready Stock Kids Shoes Children's Sports Shoes Velcro Soft Running Shoes,KT-262_??_33,"pink,33",56.9,39.83,1,39.83,17.07,17.07,0,0.5,2,1,LUCAA;FSV-60641745,1,0,0,N,0,0,0,0,81.86,2.2,1.62,0,4.72,80.86,8.2,mimie83,,2020/10/21 20:23,
2010016EE9FEEW,Completed,,,MY209472372893I,Standard Delivery,Dropoff,2020/10/12 11:22,2020/10/3 13:34,2020/10/1 11:21,2020/10/1 11:22,KT-??262,Ready Stock Kids Shoes Children's Sports Shoes Velcro Soft Running Shoes,KT-262_??_33,"black,33",56.9,39.83,1,39.83,17.07,17.07,0,0.5,2,1,LUCAA;FSV-60641745,1,0,0,N,0,0,0,0,81.86,2.2,1.62,0,4.72,80.86,8.2,mimie83,,2020/10/21 20:23,
2010016F8FG2AM,Cancelled,Cancelled by buyer. Reason: Don't want to buy anymore,,,Standard Delivery,Dropoff,,,2020/10/1 11:35,-,KT-???292-2,Ready Stock Kids Shoes boy&girls Sports Shoes  kasut sukan Breathable mesh sneakers,,"Black,31",38.53,28.89,1,28.89,9.64,9.64,0,0.5,1,0.5,FSV-60641745,0,0,0,N,0,0,0,0,28.89,0,0.58,0,1.73,28.89,6,ishabieber02,,,
